Nodal displacements
node#      x          y          u          v
  208    0.593972    1.204455   -0.423164    3.558450
  209    0.712529    1.234136   -0.474247    3.353328
  210    0.652311    1.322756   -0.364552    3.549580
  211    0.786452    1.362174   -0.424024    3.350321
  212    0.718429    1.456830   -0.322137    3.563106
  213    0.869615    1.506218   -0.386842    3.372027
  214    0.792326    1.606678   -0.289006    3.599403
  215    0.962019    1.666266   -0.353986    3.416037
  216    0.876594    1.777557   -0.255886    3.658838
  217    1.069823    1.852989   -0.313226    3.481947
  218    0.973827    1.974725   -0.211627    3.740836
  219    1.193029    2.066386   -0.251167    3.564408
  220    1.084024    2.198183   -0.141698    3.840255
  221    1.331634    2.306458   -0.149887    3.655271
  222    1.207185    2.447929   -0.025626    3.949121
  223    1.485641    2.573205    0.012910    3.746468
  224    1.375722    2.789687    0.230244    4.084197
  225    1.732051    3.000000    0.385961    3.880169
  226    0.382683    0.923880   -0.720900    3.851657
  227    0.333636    0.982859   -0.537918    3.940266
  228    0.412782    0.996544   -0.576932    3.811939
  229    0.359770    1.059849   -0.427723    3.919952
  230    0.447180    1.079589   -0.463504    3.777590
  231    0.389389    1.147104   -0.341571    3.903064
  232    0.485878    1.173014   -0.378059    3.753067
  233    0.423364    1.247192   -0.275705    3.894334
  234    0.531026    1.282010   -0.313450    3.741800
  235    0.462566    1.362677   -0.226315    3.898309
  236    0.582623    1.406578   -0.266687    3.748416
  237    0.506995    1.493560   -0.190229    3.919578
  238    0.640671    1.546716   -0.232406    3.775806
  239    0.556651    1.639841   -0.162646    3.961165
  240    0.705167    1.702425   -0.204028    3.824931
  241    0.613276    1.806653   -0.136838    4.026764
  242    0.780414    1.884085   -0.172079    3.899417
  243    0.678613    1.999128   -0.104666    4.119283
  244    0.866409    2.091697   -0.125947    3.997934
  245    0.752661    2.217267   -0.054904    4.237396
  246    0.963155    2.325261   -0.049797    4.115460
  247    0.835420    2.461069    0.030161    4.376060
  248    1.070649    2.584776    0.080330    4.243949
  249    0.948670    2.794693    0.243087    4.562537
  250    1.242641    3.000000    0.434580    4.435804
  251    0.258819    0.965926   -0.486157    4.040842
  252    0.202119    1.016122   -0.323657    4.110053
  253    0.277895    1.037118   -0.383121    4.040362
  254    0.217181    1.091842   -0.253361    4.118012
  255    0.299696    1.118481   -0.300331    4.036566
  256    0.234251    1.177659   -0.197599    4.122811
  257    0.324222    1.210015   -0.236702    4.034345
  258    0.253831    1.276095   -0.154321    4.130052
  259    0.352836    1.316804   -0.187632    4.038978
  260    0.276424    1.389676   -0.121417    4.145189
  261    0.385538    1.438848   -0.151551    4.056054
  262    0.302029    1.518401   -0.097175    4.173838
  263    0.422328    1.576148   -0.125080    4.090302
  264    0.330646    1.662270   -0.078792    4.220642
  265    0.463205    1.728704   -0.103856    4.145001
  266    0.363280    1.826331   -0.062206    4.291532
  267    0.510895    1.906685   -0.081431    4.226854
  268    0.400934    2.015633   -0.042485    4.391928
  269    0.565398    2.110093   -0.050545    4.337905
  270    0.443609    2.230174   -0.012614    4.523639
  271    0.626713    2.338926    0.000357    4.476834
  272    0.491305    2.469956    0.039166    4.685017
  273    0.694842    2.593185    0.090603    4.638246
  274    0.556572    2.798079    0.181249    4.916130
  275    0.803848    3.000000    0.372898    4.887428
  276    0.130526    0.991445   -0.244735    4.156731
  277    0.067700    1.032896   -0.108031    4.196405
  278    0.139781    1.061744   -0.191090    4.180721
  279    0.072621    1.107977   -0.083896    4.219064
  280    0.150359    1.142086   -0.147504    4.196663
  281    0.078198    1.193068   -0.064617    4.235450
  282    0.162258    1.232471   -0.113618    4.209457
  283    0.084595    1.290672   -0.049544    4.251501
  284    0.176141    1.337921   -0.087181    4.225328
  285    0.091977    1.403292   -0.038005    4.273034
  286    0.192006    1.458434   -0.067551    4.250242
  287    0.100342    1.530929   -0.029464    4.306097
  288    0.209856    1.594011   -0.053110    4.289903
  289    0.109692    1.673582   -0.023003    4.356090
  290    0.229688    1.744653   -0.041693    4.348933
  291    0.120355    1.836255   -0.017265    4.430072
  292    0.252826    1.920402   -0.030039    4.435965
  293    0.132657    2.023956   -0.010600    4.534772
  294    0.279269    2.121257   -0.014477    4.555267
  295    0.146600    2.236684   -0.000629    4.673742
  296    0.309017    2.347220    0.011041    4.708345
  297    0.162183    2.474438    0.016740    4.847492
  298    0.342071    2.598289    0.057112    4.892784
  299    0.183508    2.799786    0.066736    5.104848
  300    0.394957    3.000000    0.214470    5.185665
  301    0.000000    1.000000    0.000000    4.195775
  302    0.000000    1.070000    0.000000    4.228073
  303    0.000000    1.150000    0.000000    4.250825
  304    0.000000    1.240000    0.000000    4.268895
  305    0.000000    1.345000    0.000000    4.288802
  306    0.000000    1.465000    0.000000    4.316602
  307    0.000000    1.600000    0.000000    4.358301
  308    0.000000    1.750000    0.000000    4.418959
