Nodal displacements
node#      x          y          u          v
  248    1.032475    0.350478   -1.918667    1.162146
  249    1.064912    0.400804   -1.885986    1.216311
  250    1.118019    0.379516   -1.929313    1.054329
  251    1.150916    0.433174   -1.885200    1.120030
  252    1.203564    0.408555   -1.933295    0.981532
  253    1.236920    0.465544   -1.882205    1.055440
  254    1.289108    0.437593   -1.934318    0.932371
  255    1.322924    0.497913   -1.878947    1.012313
  256    1.374653    0.466632   -1.934401    0.899434
  257    1.408927    0.530283   -1.876367    0.983922
  258    1.460198    0.495670   -1.934608    0.877732
  259    1.494931    0.562652   -1.874849    0.965689
  260    1.545742    0.524709   -1.935454    0.863801
  261    1.580935    0.595022   -1.874467    0.954407
  262    1.631287    0.553747   -1.937130    0.855170
  263    1.666939    0.627391   -1.875120    0.947760
  264    1.716831    0.582786   -1.939637    0.850022
  265    1.752943    0.659761   -1.876611    0.944028
  266    1.802376    0.611824   -1.942866    0.846980
  267    1.838947    0.692131   -1.878698    0.941893
  268    1.887920    0.640863   -1.946646    0.844970
  269    1.924951    0.724500   -1.881118    0.940315
  270    1.973465    0.669901   -1.950771    0.843121
  271    2.010955    0.756870   -1.883604    0.938437
  272    2.059010    0.698940   -1.955018    0.840702
  273    2.096959    0.789239   -1.885894    0.935533
  274    2.144554    0.727978   -1.959163    0.837069
  275    2.182963    0.821609   -1.887742    0.930957
  276    2.230099    0.757017   -1.962981    0.831631
  277    2.268967    0.853979   -1.888918    0.924115
  278    2.315643    0.786055   -1.966260    0.823823
  279    2.354971    0.886348   -1.889216    0.914438
  280    2.401188    0.815093   -1.968800    0.813086
  281    2.440974    0.918718   -1.888458    0.901367
  282    2.486732    0.844132   -1.970422    0.798847
  283    2.526978    0.951087   -1.886503    0.884341
  284    2.572277    0.873170   -1.970976    0.780507
  285    2.612982    0.983457   -1.883249    0.862788
  286    2.657822    0.902209   -1.970347    0.757432
  287    2.698986    1.015826   -1.878653    0.836122
  288    2.743366    0.931247   -1.968469    0.728945
  289    2.784990    1.048196   -1.872736    0.803747
  290    2.828911    0.960286   -1.965341    0.694321
  291    2.870994    1.080566   -1.865602    0.765066
  292    2.914455    0.989324   -1.961042    0.652795
  293    2.956998    1.112935   -1.857460    0.719499
  294    3.000000    1.018363   -1.955762    0.603565
  295    0.923880    0.382683   -1.843107    1.576878
  296    0.954387    0.432427   -1.811330    1.598810
  297    1.010385    0.418515   -1.842727    1.389909
  298    1.041435    0.471868   -1.794901    1.435526
  299    1.096890    0.454347   -1.837000    1.266348
  300    1.128482    0.511309   -1.779775    1.328051
  301    1.183395    0.490178   -1.829837    1.184061
  302    1.215530    0.550749   -1.767092    1.257120
  303    1.269900    0.526010   -1.823114    1.129352
  304    1.302577    0.590190   -1.757113    1.210680
  305    1.356405    0.561841   -1.817650    1.093402
  306    1.389624    0.629631   -1.749682    1.180886
  307    1.442910    0.597673   -1.813703    1.070320
  308    1.476672    0.669071   -1.744443    1.162442
  309    1.529415    0.633504   -1.811227    1.056043
  310    1.563719    0.708512   -1.740956    1.151659
  311    1.615920    0.669336   -1.810017    1.047688
  312    1.650766    0.747952   -1.738759    1.145888
  313    1.702425    0.705167   -1.809790    1.043143
  314    1.737814    0.787393   -1.737398    1.143175
  315    1.788930    0.740999   -1.810228    1.040823
  316    1.824861    0.826834   -1.736443    1.142031
  317    1.875435    0.776831   -1.811006    1.039494
  318    1.911908    0.866274   -1.735500    1.141294
  319    1.961940    0.812662   -1.811808    1.038169
  320    1.998956    0.905715   -1.734211    1.140018
  321    2.048445    0.848494   -1.812334    1.036029
  322    2.086003    0.945156   -1.732257    1.137418
  323    2.134950    0.884325   -1.812307    1.032366
  324    2.173050    0.984596   -1.729361    1.132813
  325    2.221455    0.920157   -1.811477    1.026548
  326    2.260098    1.024037   -1.725290    1.125600
  327    2.307960    0.955988   -1.809626    1.017994
  328    2.347145    1.063478   -1.719857    1.115228
  329    2.394465    0.991820   -1.806571    1.006150
  330    2.434192    1.102918   -1.712928    1.101187
  331    2.480970    1.027651   -1.802174    0.990480
  332    2.521240    1.142359   -1.704423    1.083003
  333    2.567475    1.063483   -1.796347    0.970459
  334    2.608287    1.181799   -1.694331    1.060237
  335    2.653980    1.099314   -1.789059    0.945576
  336    2.695334    1.221240   -1.682712    1.032497
  337    2.740485    1.135146   -1.780356    0.915336
  338    2.782382    1.260681   -1.669710    0.999447
  339    2.826990    1.170978   -1.770368    0.879278
  340    2.869429    1.300121   -1.655562    0.960839
  341    2.913495    1.206809   -1.759326    0.836996
  342    2.956476    1.339562   -1.640612    0.916541
  343    3.000000    1.242641   -1.747582    0.788174
  344    0.896873    0.442289   -1.783279    1.824657
  345    0.926048    0.494983   -1.731997    1.832715
  346    0.984503    0.485503   -1.754863    1.615124
  347    1.014301    0.542155   -1.691513    1.653710
  348    1.072133    0.528718   -1.730946    1.478906
  349    1.102554    0.589328   -1.660987    1.538042
  350    1.159764    0.571932   -1.711738    1.389742
  351    1.190808    0.636500   -1.638210    1.463269
  352    1.247394    0.615147   -1.696843    1.331654
  353    1.279061    0.683672   -1.621412    1.415578
  354    1.335024    0.658361   -1.685640    1.294475
  355    1.367314    0.730845   -1.609145    1.386071
  356    1.422655    0.701576   -1.677434    1.271474
  357    1.455568    0.778017   -1.600200    1.368795
  358    1.510285    0.744790   -1.671534    1.258044
  359    1.543821    0.825189   -1.593559    1.359632
  360    1.597915    0.788005   -1.667286    1.250933
  361    1.632074    0.872362   -1.588361    1.355646
  362    1.685545    0.831219   -1.664089    1.247777
  363    1.720327    0.919534   -1.583875    1.354685
  364    1.773176    0.874434   -1.661401    1.246811
  365    1.808581    0.966707   -1.579484    1.355127
  366    1.860806    0.917648   -1.658741    1.246679
  367    1.896834    1.013879   -1.574665    1.355717
  368    1.948436    0.960862   -1.655685    1.246304
  369    1.985087    1.061051   -1.568982    1.355459
  370    2.036067    1.004077   -1.651865    1.244811
  371    2.073341    1.108224   -1.562080    1.353540
  372    2.123697    1.047291   -1.646971    1.241467
  373    2.161594    1.155396   -1.553675    1.349287
  374    2.211327    1.090506   -1.640747    1.235638
  375    2.249847    1.202568   -1.543557    1.342131
  376    2.298958    1.133720   -1.632995    1.226769
  377    2.338100    1.249741   -1.531591    1.331590
  378    2.386588    1.176935   -1.623580    1.214368
  379    2.426354    1.296913   -1.517714    1.317260
  380    2.474218    1.220149   -1.612430    1.197996
  381    2.514607    1.344085   -1.501941    1.298814
  382    2.561848    1.263364   -1.599546    1.177274
  383    2.602860    1.391258   -1.484368    1.276009
  384    2.649479    1.306578   -1.585004    1.151886
  385    2.691114    1.438430   -1.465172    1.248699
  386    2.737109    1.349793   -1.568968    1.121600
  387    2.779367    1.485603   -1.444611    1.216858
  388    2.824739    1.393007   -1.551690    1.086291
  389    2.867620    1.532775   -1.423024    1.180605
  390    2.912370    1.436222   -1.533514    1.045978
  391    2.955873    1.579947   -1.400822    1.140236
  392    3.000000    1.479436   -1.514880    1.000861
  393    0.866025    0.500000   -1.715537    2.065454
  394    0.894010    0.555931   -1.643504    2.061421
